"sample-id"	"extraction-id"	"dna-extraction-batch"	"nanodrop-dna-concentration-ng-per-uL"	"A260-A280"	"A230-A260"	"DNA-volume-sent-for-library-prep-in-uL"	"water-volume-added-to-dilute-DNA-in-uL"	"DNA-concentration-sent-to-Dalhousie-nanodrop-ng-per-uL"	"sequencing-batch"	"plate-batch"	"sample-type"	"country"	"replicate"	"read_depth_afterDADA2"	"read-depth-compared-to-blanks"	"read_depth_afterTaxaRemoval"	"bead-basher-used"
"D175"	"Mock_13.1"	"13"	"3.492"	"2.1949999999999998"	"0.432"	"15"	"0"	"3.492"	"1"	"2"	"mock"	""	"no"	6886	"below"	6886	"old"
"D176"	"Blank_13.3"	"13"	"1.413"	"-18.058"	"0.19500000000000001"	"15"	"0"	"1.413"	"1"	"2"	"blank"	""	"no"	17	"below"	17	"old"
"D177"	"CD130J.2"	"13"	"27.134"	"2.0030000000000001"	"2.032"	"15"	"0"	"27.134"	"1"	"2"	"stool"	"Denmark"	"no"	41449	"above"	41449	"old"
"D178"	"CD130J.3"	"13"	"39.405000000000001"	"1.958"	"1.925"	"15"	"0"	"39.405000000000001"	"1"	"2"	"stool"	"Denmark"	"no"	43855	"above"	43855	"old"
"D179"	"CD130J.4"	"13"	"68.813999999999993"	"1.9279999999999999"	"1.4630000000000001"	"15"	"0"	"68.813999999999993"	"1"	"2"	"stool"	"Denmark"	"no"	16631	"above"	16631	"old"
"D18"	"CD010A.2"	"9"	"63.109000000000002"	"1.929"	"1.9910000000000001"	"15"	"0"	"63.109000000000002"	"1"	"1"	"stool"	"Denmark"	"no"	22673	"above"	22673	"old"
"D180"	"CD133O.2"	"13"	"162.946"	"1.9179999999999999"	"2.0470000000000002"	"15"	"0"	"162.946"	"1"	"2"	"stool"	"Denmark"	"no"	5807	"below"	5807	"old"
"D181"	"CD133O.3"	"13"	"188.54300000000001"	"1.93"	"2.0430000000000001"	"15"	"0"	"188.54300000000001"	"1"	"2"	"stool"	"Denmark"	"no"	16906	"above"	16906	"old"
"D182"	"CD133O.4"	"13"	"183.77199999999999"	"1.925"	"2.12"	"15"	"0"	"183.77199999999999"	"1"	"2"	"stool"	"Denmark"	"no"	8505	"below"	8505	"old"
"D183"	"CD137M.2"	"13"	"62.868000000000002"	"1.901"	"2.0590000000000002"	"15"	"0"	"62.868000000000002"	"1"	"2"	"stool"	"Denmark"	"no"	27997	"above"	27997	"old"
"D184"	"CD137M.3"	"13"	"42.545000000000002"	"1.9510000000000001"	"1.9259999999999999"	"15"	"0"	"42.545000000000002"	"1"	"2"	"stool"	"Denmark"	"no"	31568	"above"	31568	"old"
"D185"	"CD137M.4"	"13"	"193.363"	"1.915"	"2.121"	"15"	"0"	"193.363"	"1"	"2"	"stool"	"Denmark"	"no"	43786	"above"	43786	"old"
"D186"	"CD139Y.2"	"13"	"20.361000000000001"	"2.1040000000000001"	"1.7330000000000001"	"15"	"0"	"20.361000000000001"	"1"	"2"	"stool"	"Denmark"	"no"	31368	"above"	31368	"old"
